anchor_player_id,anchor_player_name,partner_player_id,partner_player_name,pair_key,ball_companion_fit_score,ball_companion_rank_for_anchor,ball_CB_pair_fit_z_score,ball_coverage_gain_raw,ball_coverage_gain_z_within_anchor,ground_companion_fit_score,ground_companion_rank_for_anchor,ground_CB_pair_fit_z_score,ground_coverage_gain_raw,ground_coverage_gain_z_within_anchor,aerial_companion_fit_score,aerial_companion_rank_for_anchor,aerial_CB_pair_fit_z_score,aerial_coverage_gain_raw,aerial_coverage_gain_z_within_anchor,ground_companion_fit_score_z_within_anchor,aerial_companion_fit_score_z_within_anchor,ball_companion_fit_score_z_within_anchor,global_companion_fit_score_z_within_anchor,global_companion_rank_for_anchor,global_companion_rank_for_anchor_z_score
578325,W. Saliba,558243,S. van den Berg,558243__578325,-0.1358073344055494,79,0.2296905239498356,0.0,-0.8145890713512648,0.3149478564950165,28,0.0922400830485916,0.1244559902302776,0.7285480071812342,0.9737944471890554,13,0.7575282338226592,0.1952974530038561,1.375431700583791,0.2847725801350356,0.9929873487580934,-0.9955865334159385,0.09405779849239682,24,0.41909906717033446
578325,W. Saliba,619747,L. Colwill,578325__619747,1.0661320436379076,17,0.8451521821499597,0.1556898033376796,1.4765232149726677,0.0952039070104117,38,0.2874760737066965,0.0603563464600285,-0.2618729739969741,0.0954859092354632,42,0.5154425608192952,0.0129471943993484,-0.6844335865630818,-0.16822986590107883,-0.61127722373476,1.0448557550955897,0.0884495551532503,25,0.36321919154762317
578325,W. Saliba,415847,C. Romero,415847__578325,1.3819526936091846,7,1.3310301051826936,0.1556898033376796,1.4765232149726677,-0.473944765392498,68,-0.0859775796675335,0.0,-1.1944552531674322,0.427794799176424,29,0.5154816679435504,0.0969914931339009,0.2649477571803318,-1.34153061598516,-0.004302161760720008,1.5810007733539826,0.07838933186936752,26,0.3073393159249119
578325,W. Saliba,8653,H. Maguire,8653__578325,-0.0496947962454787,66,0.3621713518884059,0.0,-0.8145890713512648,0.2175330323415404,30,0.4808700753984402,0.0597318993154144,-0.2715214761927019,0.9519363932726802,14,0.9361442320355942,0.1604036877333305,0.981264692712983,0.08395178973236599,0.9530627664428838,-0.8493997392708863,0.06253827230145448,27,0.2514594403022007
578325,W. Saliba,625787,M. van de Ven,578325__625787,1.0788411247584984,15,0.8647046146431765,0.1556898033376796,1.4765232149726677,-0.0151593064836274,43,-0.052224452745983,0.0807785456819317,0.0536759651464614,0.1547435212372269,37,0.6853603353360674,0.0,-0.8306877049463341,-0.39574377826346785,-0.5030408996219915,1.0664310084239146,0.05588211017948508,28,0.1955795646794894
578325,W. Saliba,258154,Rúben Dias,258154__578325,1.3817392488182754,8,1.4392124041091487,0.1419957638692534,1.2750033889923678,-0.0385711309450132,45,0.0816683230060426,0.0603563464600285,-0.2618729739969741,-0.1385843166505131,57,0.2340867385856981,0.0,-0.8306877049463341,-0.44400728573227727,-1.038815559795103,1.5806384241493643,0.032605192873994694,29,0.13969968905677815
578325,W. Saliba,288080,C. Burgess,288080__578325,0.1012562333218408,45,0.238804080961099,0.0448766470561669,-0.1541897694367814,0.8502011342518552,6,0.3706177071848802,0.1899721570527955,1.7408560702333804,0.0098891393974575,46,0.4625074401979606,0.0,-0.8306877049463341,1.38819792878011,-0.7676230400818089,-0.5931415037474832,0.009144461650272643,30,0.08381981343406689
578325,W. Saliba,534563,C. Richards,534563__578325,-0.2322797414981241,84,0.0812714361151054,0.0,-0.8145890713512648,0.5405243372927429,21,0.7118253012514454,0.091697906819018,0.2223939756551523,0.6344824359878309,21,0.6627312785960304,0.1250604452583157,0.5820202997154605,0.7497987972812228,0.37322081448334093,-1.1593604996426043,-0.012113629292680228,31,0.02793993781135563
578325,W. Saliba,240032,J. Bednarek,240032__578325,-0.0229330878577355,64,0.4033432109464725,0.0,-0.8145890713512648,0.5116274676164004,24,0.5674850766285939,0.1037032576857867,0.4078919080223268,0.4671375316285689,24,0.8479145760412927,0.0522890692029794,-0.2400198365664897,0.690227861758891,0.06755886330126783,-0.8039683951409907,-0.015393890026943987,32,-0.02793993781135563
578325,W. Saliba,479155,N. Collins,479155__578325,-0.0521602190849373,68,0.3583783936738544,0.0,-0.8145890713512648,-0.2757140275820392,60,0.164241457772378,0.0065807555270051,-1.0927742146688142,1.3395352598482233,9,1.1037287788692172,0.2308872817366328,1.7774615816663777,-0.9328776846152668,1.6610271128151872,-0.8535851026199783,-0.041811891473352625,33,-0.08381981343406689
578325,W. Saliba,545267,R. Drăgușin,545267__578325,0.1089028948250873,43,0.4991692413243522,0.0135032103909248,-0.6158774629592619,0.6921605763270202,15,0.1274783873005185,0.1899721570527955,1.7408560702333804,0.0661256393787221,44,0.5490251324768294,0.0,-0.8306877049463341,1.0623971070474587,-0.6649048941200937,-0.5801603403192948,-0.06088937579730991,34,-0.13969968905677815
578325,W. Saliba,549884,T. Harwood-Bellis,549884__578325,1.185366047281688,12,1.028589110832699,0.1556898033376796,1.4765232149726677,-0.0746842534826214,49,0.0018656166980174,0.0632703252028754,-0.2168482981038079,-0.0880447703604571,54,0.3118398867242458,0.0,-0.8306877049463341,-0.5184545361885843,-0.9465031204649466,1.2472703757558596,-0.07256242696589037,35,-0.1955795646794894
578325,W. Saliba,424241,N. Milenković,424241__578325,-0.1858239409705775,82,0.1527418984651771,0.0,-0.8145890713512648,0.5222381036181638,23,0.4215638681004198,0.123204088953414,0.70920454100826,0.4664425811149251,26,0.7023573781483682,0.076043508654323,0.0283151009099592,0.7121017020810994,0.0662895092639359,-1.0804959731326533,-0.10070158726253935,36,-0.2514594403022007
578325,W. Saliba,769441,L. Yoro,578325__769441,0.0923835430332698,46,0.58075341231725,0.0,-0.8145890713512648,0.7191945102903808,12,0.1690690549364581,0.1899721570527955,1.7408560702333804,-0.0158760382027716,50,0.4228687054283773,0.0,-0.8306877049463341,1.1181275981035463,-0.8146841351775486,-0.6082040042432539,-0.10158684710575205,37,-0.3073393159249119
578325,W. Saliba,9097,L. Dunk,9097__578325,0.9769843995001212,20,1.1123541463283295,0.1046605864765956,0.725583441104877,-0.1410857782444556,54,-0.0760465189930995,0.0603563464600285,-0.2618729739969741,0.1187838563557442,40,0.6300377739799403,0.0,-0.8306877049463341,-0.6553413683775448,-0.5687226206974688,0.8935164892866786,-0.110182499929445,38,-0.36321919154762317
