,player.id,player.name,minutes_played,total_duels,yellow_cards,red_cards,duel_success_rate,possession_win_rate,discipline,card_discipline,duels_per90,interceptions_per90,z_duel_success_rate,z_possession_win_rate,z_discipline,z_card_discipline,z_duels_per90,z_interceptions_per90,CB_ground_duels_quality_z_score,CB_rank_for_ground_duels_quality,CB_rank_for_ground_duels_quality_z_score
10,397074,M. Guéhi,2969.0,162,0,0,0.7037037037037037,0.32098765432098764,0.9876543209876543,1.0,4.910744358369821,3.4557089929269114,0.5035639861189692,0.7276712190379775,0.6490848533595867,0.6035634646002853,-0.09898905915306583,0.057992412692241126,0.7908223420767692,17,0.953230637699318
11,590781,J. van Hecke,2968.0,141,3,0,0.6524822695035462,0.3333333333333333,0.9716312056737588,0.9787234042553191,4.275606469002696,2.789757412398922,-0.23420653552830742,0.9106758220447172,-0.19073362337770866,-1.6402482882425158,-0.4970857612085773,-0.5407262782704687,-0.06930830324619687,42,-0.2092457497388747
12,50102,F. Schär,2945.0,185,2,0,0.5783783783783784,0.21081081081081082,0.972972972972973,0.9891891891891892,5.65365025466893,3.269949066213922,-1.3015656843929806,-0.9055212110383855,-0.12040766320785479,-0.5365354800874066,0.36665531855673156,-0.1090136331027888,-1.0269559069877496,63,-1.1857259151869566
13,9433,J. Tarkowski,2922.0,155,0,0,0.7096774193548387,0.25161290322580643,0.967741935483871,1.0,4.774127310061601,3.3880903490759753,0.5896067020430936,-0.3006965823740888,-0.39458168304053887,0.6035634646002853,-0.18461896296852523,-0.0027996135073342088,0.02423598399130693,40,-0.11624763874381927
14,447424,C. Bassey,2901.0,193,2,0,0.7253886010362695,0.33678756476683935,0.9637305699481865,0.9896373056994818,5.987590486039297,4.343329886246122,0.8159035030953495,0.9618791824714732,-0.6048291179381426,-0.4892774927428429,0.5759649929089642,0.8560012092144874,0.9507507050077934,13,1.1392268596894288
15,549884,T. Harwood-Bellis,2838.0,158,1,0,0.6012658227848101,0.21518987341772153,0.9873417721518988,0.9936708860759493,5.010570824524312,3.0126849894291756,-0.9719052197343346,-0.8406087333109179,0.6327032520287543,-0.06389952516941125,-0.036419044642424576,-0.3403049398403957,-0.8022672553248898,59,-0.9997296931968458
16,285382,W. Faes,2836.0,140,1,0,0.6214285714285714,0.2785714285714286,0.9642857142857143,0.9928571428571429,4.4428772919605075,2.7609308885754587,-0.681490048487432,0.09891969013625083,-0.5757323747157049,-0.14971619528265126,-0.3922424443723407,-0.5666425447277174,-0.49224763222305074,51,-0.6277372492166241
17,145787,J. Andersen,2673.0,143,1,1,0.6573426573426573,0.23776223776223776,0.965034965034965,0.972027972027972,4.814814814814815,3.164983164983165,-0.16419969312993365,-0.5060101606717919,-0.5364619450518607,-2.3463428957804613,-0.15911652998777182,-0.20338242629759473,-0.8983306079593478,61,-1.092727804191901
18,393247,I. Konaté,2573.0,141,0,0,0.7021276595744681,0.28368794326241137,0.9645390070921985,1.0,4.93198600855033,3.462883793237466,0.48086335468366836,0.1747636950601688,-0.5624565557040533,0.6035634646002853,-0.08567505124290367,0.06444286220757736,0.2681082167630171,32,0.2557448052364024
19,240032,J. Bednarek,2532.0,183,1,0,0.6885245901639344,0.3005464480874317,0.994535519125683,0.994535519125683,6.504739336492891,4.478672985781991,0.284930855492096,0.42466359766616285,1.009748633479503,0.027283943378363946,0.9001076008118191,0.9776803909362366,0.9005432871322057,15,1.0462287486943735
20,590874,Toti,2530.0,143,1,0,0.6293706293706294,0.3146853146853147,0.958041958041958,0.993006993006993,5.086956521739131,3.2015810276679844,-0.5670962146879295,0.63424928883174,-0.9029859552477657,-0.13391312549489842,0.011458581073985834,-0.1704793968891868,-0.03224226355658326,41,-0.16274669424134697
21,604320,J. Branthwaite,2525.0,112,1,0,0.7232142857142857,0.23214285714285715,0.9821428571428571,0.9910714285714286,3.992079207920792,2.887128712871287,0.7845856422354385,-0.5893083347426666,0.36021286560597965,-0.3380361102533854,-0.6747971991012324,-0.4531853529828818,-0.30114731119181165,48,-0.48824008272404096
22,399581,D. O'Shea,2520.0,128,0,0,0.75,0.3046875,0.9921875,1.0,4.571428571428571,3.428571428571429,1.170395034530931,0.4860479541306418,0.8866820632869317,0.6035634646002853,-0.31166806633886196,0.03359459236730247,0.8693833069543362,16,0.9997296931968458
